,ucl_id,operator_intid,operator_altid,operator_name,lat,lon,initial_bikes,initial_size,curr_bikes,curr_size,created_dt,updated_dt,neighbors_1,neighbors_2
746,678,678,678,"Esmond Street, Putney",51.462313,-0.21146900000000002,10,29,13,30,2014-02-19 18:15:01,2020-02-14 17:38:02,[743],"[743, 709, 708, 728, 694]"
747,658,658,658,"Ethelburga Estate, Battersea Park",51.477292,-0.164786,7,30,0,30,2014-02-19 18:15:01,2020-02-14 17:38:02,[620],"[620, 710, 680, 756, 679]"
748,69,69,69,"Euston Road, Euston",51.526236,-0.134408,3,21,19,24,2010-08-06 01:00:00,2020-02-14 17:38:02,"[19, 98, 65, 20, 214, 795]","[65, 20, 795, 19, 98]"
749,795,0,0,"Euston Square Gardens, Euston",51.527068,-0.13186099999999998,1,30,8,30,2018-09-05 11:38:04,2020-02-14 17:38:02,"[19, 25, 20, 214, 69]","[214, 25, 69, 19, 20]"
750,711,711,711,"Everington Street, Fulham",51.483357,-0.216306,5,31,4,31,2014-02-19 18:15:01,2020-02-14 17:38:02,[655],"[655, 761, 635, 696, 616]"
751,274,274,274,"Warwick Road, Olympia",51.496712,-0.20528400000000002,5,36,4,36,2010-10-08 01:00:00,2020-02-14 17:38:02,[666],"[666, 293, 687, 145, 559]"
752,131,131,131,"Eversholt Street , Camden Town",51.533004999999996,-0.136793,1,16,11,16,2011-06-29 15:40:02,2020-02-14 17:38:02,"[425, 90]","[90, 425, 21, 362, 34]"
753,424,424,424,"Ebury Bridge, Pimlico",51.490491,-0.14918599999999999,10,29,1,29,2012-03-12 11:20:17,2020-02-14 17:38:02,[288],"[288, 259, 167, 268, 178]"
754,410,410,410,"Edgware Road Station, Marylebone",51.519968,-0.169774,13,64,28,64,2015-05-21 14:40:07,2020-02-14 17:38:02,[408],"[408, 370, 402, 182, 605]"
755,374,374,374,"Waterloo Station 1, Waterloo",51.504028000000005,-0.113864,2,36,11,36,2011-06-29 15:40:02,2020-02-14 17:38:02,"[252, 197, 334, 819, 273, 336, 154, 173, 377, 361]","[361, 154, 173, 377, 336]"
756,361,361,361,"Waterloo Station 2, Waterloo",51.50392,-0.113426,0,55,15,55,2011-06-29 15:40:02,2020-02-14 17:38:02,"[252, 197, 334, 819, 273, 336, 154, 173, 377, 374]","[374, 154, 173, 377, 336]"
757,423,423,423,"Eaton Square (South), Belgravia",51.494561,-0.153934,20,31,15,31,2011-11-29 17:01:06,2020-02-14 17:38:02,"[5, 211]","[5, 211, 124, 259, 167]"
758,574,574,574,"Eagle Wharf Road, Hoxton",51.533559999999994,-0.09315,0,45,3,45,2013-07-09 11:26:09,2020-02-14 17:38:02,[42],"[42, 63, 253, 326, 30]"
759,244,244,244,"Earnshaw Street , Covent Garden",51.516119,-0.12858499999999998,14,18,0,18,2010-08-06 01:00:00,2020-02-14 17:38:02,"[358, 109, 15]","[15, 358, 109, 386, 88]"
