,timestamp,trip_count,temp,pressure,wind_speed,rain_1h,humidity,clouds_all,Clear,Clouds,Drizzle,Fog,Haze,Mist,Rain,Smoke,Snow,Thunderstorm,is_weekend,is_holiday,trip_log,is_non_workday,hour,is_rushhour,is_day
110,2018-10-03 00:00:00,182,287.91,1023,5,0.0,72,90,0,1,0,0,0,0,0,0,0,0,0,0,5.209486152841421,0,0,0,0
111,2018-10-04 00:00:00,231,283.65,1027,2,0.0,93,0,0,0,0,1,0,0,0,0,0,0,0,0,5.44673737166631,0,0,0,0
112,2018-10-05 00:00:00,324,285.64,1020,0,1.6701351514259276e-07,87,0,0,0,0,0,1,0,0,0,0,0,0,0,5.783825182329737,0,0,0,0
113,2018-10-06 00:00:00,581,285.24,1011,1,0.3494495176175427,77,56,0,0,0,1,0,1,0,0,0,0,1,0,6.366470447731438,1,0,0,0
114,2018-10-07 00:00:00,354,280.92,1018,4,0.0,87,8,1,0,0,0,0,0,0,0,0,0,1,0,5.872117789475416,1,0,0,0
115,2018-10-08 00:00:00,149,280.28,1023,2,0.0,75,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0106352940962555,0,0,0,0
116,2018-10-09 00:00:00,142,284.48,1020,2,0.0,76,12,0,1,0,0,0,0,0,0,0,0,0,0,4.962844630259907,0,0,0,0
117,2018-10-10 00:00:00,203,283.78,1018,1,0.0,87,0,1,0,0,0,0,0,0,0,0,0,0,0,5.318119993844216,0,0,0,0
118,2018-10-11 00:00:00,255,288.78,1005,2,0.22159587571507633,93,64,0,0,0,0,1,0,0,0,0,0,0,0,5.545177444479562,0,0,0,0
119,2018-10-12 00:00:00,295,286.9,1008,3,0.0,93,20,0,1,0,0,0,0,0,0,0,0,0,0,5.69035945432406,0,0,0,0
120,2018-11-01 00:00:00,130,282.37,1005,2,0.3,93,75,0,0,0,0,0,0,1,0,0,0,0,0,4.875197323201151,0,0,0,0
121,2018-11-02 00:00:00,223,277.15,1014,3,0.0,81,0,0,0,0,1,0,0,0,0,0,0,0,0,5.4116460518550396,0,0,0,0
122,2018-11-03 00:00:00,373,276.92,1028,2,0.0,75,12,0,1,0,0,0,0,0,0,0,0,1,0,5.924255797414532,1,0,0,0
123,2018-11-04 00:00:00,416,281.05,1016,3,0.0,75,64,0,1,0,0,0,0,0,0,0,0,1,0,6.0330862217988015,1,0,0,0
124,2018-11-05 00:00:00,151,282.03,1007,3,0.06794889665963671,93,56,0,0,0,1,1,1,0,0,0,0,0,0,5.0238805208462765,0,0,0,0
125,2018-11-06 00:00:00,182,284.59,1002,2,1.8119878721155636,93,20,0,0,0,1,1,1,0,0,0,0,0,0,5.209486152841421,0,0,0,0
126,2018-11-07 00:00:00,188,286.25,999,5,0.3,76,90,0,0,0,0,0,0,1,0,0,0,0,0,5.241747015059643,0,0,0,0
127,2018-11-08 00:00:00,135,281.25,1008,7,0.3,76,8,0,0,0,0,0,0,1,0,0,0,0,0,4.912654885736052,0,0,0,0
128,2018-11-09 00:00:00,277,280.92,1012,4,0.0,87,0,1,0,0,0,0,0,0,0,0,0,0,0,5.627621113690637,0,0,0,0
129,2018-11-10 00:00:00,182,284.04,993,5,0.9,87,92,0,0,0,0,0,0,1,0,0,0,1,0,5.209486152841421,1,0,0,0
130,2018-11-11 00:00:00,175,282.81,995,2,0.3,93,92,0,0,0,0,0,0,1,0,0,0,1,0,5.170483995038151,1,0,0,0
131,2018-11-12 00:00:00,166,282.48,1006,3,0.24342939458772012,81,48,0,0,1,0,0,0,0,0,0,0,0,0,5.117993812416755,0,0,0,0
