"system","ucl_id","operator_intid","operator_altid","operator_name","notes","lat","lon","initial_bikes","initial_size","curr_bikes","curr_size","created_dt","updated_dt","updated_dt_nonzerobikes","pedelec","operator_installflag","operator_lockflag","operator_tempflag"
"london","707","707","707","Barons Court Station, West Kensington",,"51.490218","-0.215087","8","32","21","32","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","707","0","0","Barons Court Station, West Kensington",,"51.490218","-0.215081","2","32","2","32","2019-05-03 03:30:28","2019-05-03 03:30:28","2019-05-03 03:30:28","0","1","0","0"
"london","707","0","0","Barons Court Station, West Kensington",,"51.490218","-0.215009","2","32","2","32","2019-05-03 03:30:51","2019-05-03 03:30:51","2019-05-03 03:30:51","0","1","0","0"
"london","707","0","0","Barons Court Station, West Kensingtongton",,"51.490218","-0.215087","12","32","12","32","2019-05-02 19:04:20","2019-05-02 19:04:20","2019-05-02 19:04:20","0","1","0","0"
"london","707","0","0","Barons Court Station, West Kensingtonn",,"51.490218","-0.215087","6","32","6","32","2019-05-02 19:58:02","2019-05-02 19:58:02","2019-05-02 19:58:02","0","1","0","0"
"london","707","0","0","Barons Court Station, West Kensingtoon",,"51.490218","-0.215087","6","32","6","32","2019-05-02 20:00:35","2019-05-02 20:00:35","2019-05-02 20:00:35","0","1","0","0"
"london","119","119","119","Bath Street, St. Luke's",,"51.525893","-0.090848","16","18","16","18","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","700","700","700","Battersea Church Road, Battersea",,"51.476965","-0.174347","8","24","8","25","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","631","631","631","Battersea Park Road, Nine Elms",,"51.479502","-0.141771","21","27","10","24","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","821","821","821","Battersea Power Station",,"51.483507","-0.147715","0","0","2","27","2017-01-31 09:24:01","2017-02-02 14:00:02","2017-02-02 14:00:02","0","1","0","0"
"london","821","821","821","Battersea Power Station, Battersea Park",,"51.483507","-0.147715","2","27","0","27","2017-02-02 14:02:01","2020-02-14 17:38:02","2020-02-14 17:32:02","0","1","0","0"
"london","88","88","88","Bayley Street , Bloomsbury",,"51.518588","-0.132053","24","25","3","25","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","272","272","272","Baylis Road, Waterloo",,"51.501445","-0.110699","2","18","10","22","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","153","153","153","Bayswater Road, Hyde Park",,"51.511834","-0.174293","10","26","1","27","2010-08-06 01:00:00","2017-03-28 13:38:01","2017-03-28 13:38:01","0","1","0","0"
"london","153","153","153","Bayswater Road, Hyde Park",,"51.511933","-0.174411","1","27","12","27","2017-03-28 13:40:02","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","601","601","601","BBC White City, White City",,"51.514767","-0.225787","10","36","13","36","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","242","242","242","Beaumont Street, Marylebone",,"51.522008","-0.151359","19","23","4","23","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","287","287","287","Bedford Way, Bloomsbury",,"51.523673","-0.128378","9","23","14","23","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","699","699","699","Belford House, Haggerston",,"51.536654","-0.070230","17","39","14","39","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","268","268","268","Belgrave Road, Victoria",,"51.493204","-0.144133","20","29","15","29","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","181","181","181","Belgrave Square, Belgravia",,"51.499412","-0.152318","20","21","17","21","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","14","14","14","Belgrove Street , King's Cross",,"51.529944","-0.123617","5","21","6","48","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","506","506","506","Bell Lane, Liverpool Street",,"51.517475","-0.075855","4","23","20","23","2012-03-12 11:20:17","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","182","182","182","Bell Street , Marylebone",,"51.522029","-0.165843","1","18","8","18","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","273","273","273","Belvedere Road 1, South Bank",,"51.506133","-0.114686","19","38","16","38","2016-12-19 19:36:02","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","819","819","819","Belvedere Road 2, South Bank",,"51.506210","-0.114842","8","38","15","38","2016-12-19 19:36:02","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","273","273","273","Belvedere Road, South Bank",,"51.506133","-0.114686","18","39","0","38","2010-08-06 01:00:00","2016-08-09 13:18:02","2016-08-09 13:18:02","0","1","0","0"
"london","321","321","321","Bermondsey Street, Bermondsey",,"51.497856","-0.081608","6","18","6","24","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","246","246","246","Berry Street, Clerkenwell",,"51.522853","-0.099994","30","41","32","41","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","686","686","686","Beryl Road, Hammersmith",,"51.488144","-0.222456","5","26","1","26","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","444","444","444","Bethnal Green Garden, Bethnal Green",,"51.525680","-0.055312","3","24","3","24","2015-05-21 15:00:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","444","444","444","Bethnal Green Gardens, Bethnal Green",,"51.525680","-0.055312","15","24","3","24","2012-03-12 11:20:17","2015-05-21 14:58:02","2015-05-21 14:58:02","0","1","0","0"
"london","132","132","132","Bethnal Green Road, Shoreditch",,"51.523648","-0.074755","1","22","28","38","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","807","807","807","Bevington Road West, North Kensington",,"51.521200","-0.208888","1","24","4","24","2016-06-24 02:34:02","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","805","805","805","Bevington Road, North Kensington",,"51.520069","-0.206338","0","27","0","0","2016-06-23 21:12:02","2019-12-07 09:24:07","2019-12-07 07:34:06","0","1","0","0"
"london","772","772","772","Binfield Road, Stockwell",,"51.472510","-0.122832","27","34","20","35","2015-01-12 21:14:02","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","798","798","798","Birkenhead Street, King's Cross",,"51.530200","-0.122299","2","27","27","27","2016-06-01 12:48:02","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","798","798","798","Birkenhead Street, King's Cross",,"51.530200","0.122299","0","26","2","27","2016-06-01 11:08:02","2016-06-01 12:46:01","2016-06-01 12:46:01","0","1","0","0"
"london","681","681","681","Bishop's Avenue, Fulham",,"51.473037","-0.214750","12","46","5","46","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","592","0","0","Bishop's Bridge Road East, Bayswater","Added from csv snapshot file s3_201203","51.517085","-0.183399","9","20","9","20","2012-03-12 11:20:17","2012-03-12 11:20:17","2012-03-12 11:20:17","0","1","0","0"
"london","592","592","592","Bishop's Bridge Road East, Bayswater",,"51.517100","-0.183770","5","20","6","20","2013-07-09 11:26:09","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","568","0","0","Bishop's Bridge Road West, Bayswater","Added from csv snapshot file s3_201203","51.516050","-0.187197","8","18","8","18","2012-03-12 11:20:17","2012-03-12 11:20:17","2012-03-12 11:20:17","0","1","0","0"
"london","568","568","568","Bishop's Bridge Road West, Bayswater",,"51.516160","-0.186970","2","18","5","18","2013-07-09 11:26:09","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","307","307","307","Black Lion Gate, Kensington Gardens",,"51.509908","-0.187843","7","24","2","24","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","310","310","310","Black Prince Road, Vauxhall",,"51.490868","-0.116912","6","19","6","19","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","792","792","792","Blackfriars road, Southwark",,"51.505461","-0.104541","0","41","20","42","2016-03-21 10:56:02","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","659","0","0","Blackfriars Station, St. Paul's",,"51.511934","-0.103079","0","0","15","25","2019-12-11 11:20:08","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","742","742","742","Blenheim Crescent, Ladbroke Grove",,"51.515108","-0.208565","5","22","10","22","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","657","657","657","Blythe Road West, Shepherd's Bush",,"51.499681","-0.221792","4","21","0","21","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 16:54:02","0","1","0","0"
"london","28","28","28","Bolsover Street, Fitzrovia",,"51.523518","-0.143614","9","19","5","19","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","502","0","0","Bonner Gate, Victoria Park",,"51.533410","-0.049592","0","21","4","21","2019-08-01 11:10:02","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
