dt,dt_iso,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1515121200,2018-01-05 03:00:00 +0000 UTC,2643743,,,,278.92,278.15,280.15,994,,,87,5,240,0.3,,,,,,,,75,500,Rain,light rain,10n
1515124800,2018-01-05 04:00:00 +0000 UTC,2643743,,,,279.03,277.15,280.15,994,,,87,5,240,0.3,,,,,,,,40,500,Rain,light rain,10n
1515128400,2018-01-05 05:00:00 +0000 UTC,2643743,,,,278.92,277.15,281.15,993,,,75,5,240,,,,,,,,,40,802,Clouds,scattered clouds,03n
1515132000,2018-01-05 06:00:00 +0000 UTC,2643743,,,,278.92,277.15,281.15,993,,,75,5,230,0.3,,,,,,,,92,500,Rain,light rain,10n
1515135600,2018-01-05 07:00:00 +0000 UTC,2643743,,,,279.06,277.15,281.15,993,,,75,2,220,0.3,,,,,,,,40,520,Rain,light intensity shower rain,09n
1515139200,2018-01-05 08:00:00 +0000 UTC,2643743,,,,279.78,278.15,281.15,993,,,81,3,190,0.3,,,,,,,,12,520,Rain,light intensity shower rain,09n
1515142800,2018-01-05 09:00:00 +0000 UTC,2643743,,,,279.96,278.15,282.15,993,,,70,5,210,0.3,,,,,,,,0,520,Rain,light intensity shower rain,09d
1515146400,2018-01-05 10:00:00 +0000 UTC,2643743,,,,280.15,279.15,281.15,992,,,75,5,220,0.3,,,,,,,,0,500,Rain,light rain,10d
1515150000,2018-01-05 11:00:00 +0000 UTC,2643743,,,,280.42,279.15,281.15,993,,,75,4,210,0.9,,,,,,,,0,521,Rain,proximity shower rain,09d
1515153600,2018-01-05 12:00:00 +0000 UTC,2643743,,,,280.87,280.15,282.15,992,,,70,7,230,0.9,,,,,,,,75,521,Rain,proximity shower rain,09d
1515157200,2018-01-05 13:00:00 +0000 UTC,2643743,,,,281.24,280.15,282.15,992,,,61,9,240,,,,,,,,,0,800,Clear,Sky is Clear,01d
1515160800,2018-01-05 14:00:00 +0000 UTC,2643743,,,,280.97,280.15,282.15,993,,,61,9,240,,,,,,,,,40,802,Clouds,scattered clouds,03d
1515164400,2018-01-05 15:00:00 +0000 UTC,2643743,,,,280.35,279.15,281.15,993,,,65,7,250,,,,,,,,,75,803,Clouds,broken clouds,04d
1515168000,2018-01-05 16:00:00 +0000 UTC,2643743,,,,279.85,279.15,280.15,994,,,70,7,260,0.3,,,,,,,,75,500,Rain,light rain,10d
